domain,founding_year,country,city,funding_stage,total_funding_usd_millions,valuation_usd_millions,revenue_arr_millions,monthly_burn_rate_millions,runway_months_2024,peak_headcount_2023,layoffs_2024_2025,current_headcount_2026,investor_tier,ai_adoption_level,acquisition_status,founding_year_age,total_funding_usd_millions_log1p,valuation_usd_millions_log1p,revenue_arr_millions_log1p,funding_per_employee,valuation_to_revenue,layoff_rate
Cybersecurity,2020,Israel,Tel Aviv,Seed,1.85,25.42,1.17,0.23,5.6,16,0,16,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,6,1.0473189942805592,3.2741212990941793,0.7747271675523681,0.115625,21.72649572649573,0.0
Autonomous Vehicles,2020,Germany,Munich,Seed,1.45,12.61,1.13,0.49,2.5,42,0,42,Tier 3 (Angel/Seed),,Independent,6,0.8960880245566356,2.6108048166633746,0.7561219797213337,0.034523809523809526,11.15929203539823,0.0
Generative AI,2020,China,Beijing,Pre-IPO,143.13,1624.22,56.39,6.25,22.5,354,0,354,Corporate VC (e.g. Google Ventures),Medium,Acquired,6,4.970715670095012,7.393398470215552,4.049870072120271,0.40432203389830507,28.80333392445469,0.0
EdTech,2021,China,Shanghai,Seed,1.16,19.86,3.52,0.12,5.3,8,2,6,Tier 3 (Angel/Seed),Low,Independent,5,0.7701082216960736,3.0378334495726262,1.5085119938441398,0.19333333333333333,5.642045454545454,0.25
FinTech,2022,China,Beijing,Series C+,25.04,171.6,7.47,2.44,9.9,139,57,82,Tier 3 (Angel/Seed),,Independent,4,3.2596338173403683,5.150976778649327,2.136530508663963,0.3053658536585366,22.971887550200805,0.41007194244604317
FinTech,2012,India,Mumbai,Seed,0.65,19.84,1.71,0.1,3.2,9,0,9,Tier 3 (Angel/Seed),Low,Independent,14,0.5007752879124893,3.0368742168851663,0.9969486348916096,0.07222222222222223,11.602339181286549,0.0
FinTech,2020,Canada,Toronto,Series A,10.87,136.85,6.8,0.43,20.5,30,0,30,Tier 3 (Angel/Seed),Medium,Closed,6,2.4740142086215764,4.926166137469806,2.0541237336955462,0.3623333333333333,20.125,0.0
Cybersecurity,2018,USA,New York,Series C+,89.68,644.51,21.58,3.37,25.8,245,0,245,Tier 3 (Angel/Seed),High,Independent,8,4.507336825639328,6.47004070203347,3.1170645587215158,0.3660408163265306,29.866079703429104,0.0
HealthTech,2019,Singapore,Singapore,Seed,1.47,26.62,1.04,0.47,2.6,29,0,29,Tier 2 (Mid-size VC),High,Independent,7,0.9042181506398859,3.318540147981146,0.712949807856125,0.05068965517241379,25.596153846153847,0.0
Robotics,2018,USA,Boston,Series A,13.09,158.32,6.52,0.62,18.2,43,0,43,"Tier 1 (e.g. Sequoia, a16z)",Low,Closed,8,2.645465325910589,5.070914758313443,2.017566137961748,0.30441860465116277,24.282208588957054,0.0
FinTech,2023,China,Hangzhou,Seed,1.01,11.48,0.7,0.11,4.8,10,0,10,Tier 3 (Angel/Seed),Low,Independent,3,0.6981347220709844,2.5241273629412815,0.5306282510621704,0.101,16.400000000000002,0.0
HealthTech,2022,USA,Seattle,Series A,5.06,37.38,1.31,0.58,7.4,46,18,28,Tier 2 (Mid-size VC),Low,Independent,4,1.801709800081223,3.647536490579554,0.8372475245337022,0.1807142857142857,28.53435114503817,0.391304347826087
FinTech,2015,USA,Seattle,Series C+,42.09,437.78,28.95,2.62,15.5,183,44,139,Tier 3 (Angel/Seed),High,Acquired,11,3.763290951627747,6.083998148510915,3.3995293245614584,0.3028057553956835,15.121934369602762,0.24043715846994534
ClimateTech,2020,Canada,Vancouver,Series A,4.85,56.4,2.63,0.53,7.7,37,18,19,Tier 3 (Angel/Seed),Medium,Independent,6,1.766441661243765,4.050044303325521,1.2892326482767593,0.2552631578947368,21.44486692015209,0.4864864864864865
HealthTech,2016,France,Lyon,Series A,8.47,63.63,6.33,0.74,10.1,53,0,53,Corporate VC (e.g. Google Ventures),,Independent,10,2.248128907197987,4.168678699274804,1.9919755158985601,0.159811320754717,10.052132701421801,0.0
EdTech,2013,Germany,Berlin,Series A,8.92,55.94,7.59,0.4,17.8,24,0,24,Tier 3 (Angel/Seed),Medium,Independent,13,2.2945529212967815,4.041998081849892,2.150598735996164,0.37166666666666665,7.370223978919631,0.0
Generative AI,2013,Japan,Tokyo,Seed,1.0,20.44,1.45,0.57,1.5,33,0,33,Tier 3 (Angel/Seed),High,Closed,13,0.6931471805599453,3.0652583362026014,0.8960880245566356,0.030303030303030304,14.096551724137932,0.0
HealthTech,2022,USA,Austin,Series B,22.48,207.51,16.58,1.57,13.5,96,0,96,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,4,3.1561489949598958,5.339987001719429,2.866761892257031,0.23416666666666666,12.51568154402895,0.0
Cybersecurity,2013,USA,New York,Series C+,33.18,401.39,29.12,3.33,9.7,172,0,172,Tier 2 (Mid-size VC),Low,Independent,13,3.5316406776874447,5.997421767582108,3.405189402931693,0.19290697674418605,13.783997252747252,0.0
Robotics,2018,Japan,Tokyo,Series A,6.12,59.29,2.89,0.8,6.8,60,0,60,Tier 2 (Mid-size VC),High,Closed,8,1.9629077254238845,4.099166252501314,1.358409157630355,0.10200000000000001,20.515570934256054,0.0
Web3/Crypto,2019,USA,Seattle,Series A,12.09,68.93,3.43,0.98,11.2,55,42,13,Tier 2 (Mid-size VC),Low,Acquired (Fire Sale),7,2.5718485799218085,4.247494741715776,1.4883995840570443,0.9299999999999999,20.096209912536445,0.7636363636363637
Generative AI,2021,China,Beijing,Series A,32.98,221.17,38.39,2.91,11.0,189,104,85,Tier 3 (Angel/Seed),High,Closed,5,3.525772116243786,5.403442854589036,3.6735119769828146,0.38799999999999996,5.76113571242511,0.5502645502645502
Autonomous Vehicles,2022,USA,Seattle,Series C+,38.6,229.07,20.35,1.18,30.2,101,0,101,Tier 2 (Mid-size VC),High,Independent,4,3.6788291182604347,5.438383610444878,3.0610517396746335,0.3821782178217822,11.256511056511055,0.0
Generative AI,2023,USA,Seattle,Series B,10.8,52.08,3.01,0.74,12.9,69,0,69,Corporate VC (e.g. Google Ventures),Medium,Acquired,3,2.468099531471619,3.9718002094640066,1.3887912413184778,0.1565217391304348,17.30232558139535,0.0
Generative AI,2018,Singapore,Singapore,Series A,1.76,36.01,1.62,0.46,3.1,24,0,24,Corporate VC (e.g. Google Ventures),High,Independent,8,1.0152306797290584,3.6111881463980646,0.9631743177730056,0.07333333333333333,22.228395061728392,0.0
Generative AI,2018,Germany,Berlin,Seed,4.91,55.62,2.49,0.74,5.8,44,0,44,Tier 2 (Mid-size VC),Low,Independent,8,1.776645831418007,4.036362279683754,1.2499017362143359,0.11159090909090909,22.33734939759036,0.0
Generative AI,2018,UK,London,Seed,4.61,36.57,1.78,0.4,9.2,21,0,21,Corporate VC (e.g. Google Ventures),Low,Independent,8,1.724550719534605,3.6262058595858777,1.0224509277025458,0.21952380952380954,20.54494382022472,0.0
Generative AI,2021,USA,Seattle,Series C+,165.3,1318.6,62.56,8.03,20.3,439,0,439,Tier 3 (Angel/Seed),High,Independent,5,5.113793386198882,7.185083939354426,4.151984341668515,0.3765375854214123,21.077365728900254,0.0
Robotics,2023,USA,Seattle,Seed,1.12,23.67,3.54,0.68,1.4,46,0,46,Tier 3 (Angel/Seed),High,Independent,3,0.7514160886839212,3.2055879305412653,1.5129270120532565,0.024347826086956525,6.686440677966102,0.0
Generative AI,2019,UK,Oxford,Post-IPO,240.42,982.33,65.38,11.06,21.5,603,0,603,Tier 2 (Mid-size VC),,Independent,7,5.486538155272981,6.890944770829502,4.195395806291828,0.39870646766169154,15.024931171612115,0.0
Generative AI,2020,USA,Miami,Seed,5.76,34.46,2.33,0.4,11.5,21,0,21,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,6,1.9110228900548727,3.5684053006460617,1.2029723039923526,0.2742857142857143,14.78969957081545,0.0
FinTech,2021,India,Bengaluru,Series A,6.46,43.73,7.74,0.98,6.0,49,29,20,Tier 2 (Mid-size VC),High,Acquired (Fire Sale),5,2.0095554142156695,3.8006444174447567,2.167910189667444,0.323,5.649870801033591,0.5918367346938775
ClimateTech,2022,China,Hangzhou,Series A,3.88,39.0,2.07,0.12,17.6,12,0,12,Corporate VC (e.g. Google Ventures),Low,Independent,4,1.5851452198650557,3.6888794541139363,1.1216775615991057,0.3233333333333333,18.84057971014493,0.0
FinTech,2018,Germany,Berlin,Series B,17.42,103.48,4.27,0.59,25.2,43,0,43,Tier 3 (Angel/Seed),High,Independent,8,2.913437030827161,4.648995665528121,1.6620303625532709,0.4051162790697675,24.23419203747073,0.0
FinTech,2021,France,Paris,Seed,0.38,22.8,1.49,0.6,0.5,48,23,25,Tier 2 (Mid-size VC),,Acquired,5,0.3220834991691133,3.169685580677429,0.9122827104766162,0.0152,15.302013422818792,0.4791666666666667
Autonomous Vehicles,2018,USA,New York,Series C+,54.1,362.21,16.37,3.55,14.8,239,103,136,Tier 2 (Mid-size VC),Medium,IPO,8,4.009149716158869,5.8949811793877585,2.854744580253014,0.39779411764705885,22.12645082467929,0.4309623430962343
Generative AI,2019,UK,London,Series A,26.95,226.4,16.66,1.22,20.4,106,0,106,Corporate VC (e.g. Google Ventures),High,Closed,7,3.3304171996011083,5.426710581316436,2.8713021951758138,0.2542452830188679,13.589435774309724,0.0
ClimateTech,2020,USA,Miami,Seed,1.33,24.28,1.29,0.21,4.3,17,6,11,Tier 3 (Angel/Seed),High,Independent,6,0.8458682675776092,3.2300135692786567,0.8285518175661483,0.12090909090909091,18.82170542635659,0.35294117647058826
HealthTech,2023,Israel,Tel Aviv,Seed,3.83,40.79,1.36,0.26,10.6,25,0,25,Tier 2 (Mid-size VC),High,Independent,3,1.5748464676644813,3.732657076459824,0.8586616190375187,0.1532,29.992647058823525,0.0
FinTech,2019,UK,Oxford,Seed,0.59,11.24,0.41,0.84,0.6,50,0,50,Tier 3 (Angel/Seed),High,IPO,7,0.4637340162321401,2.50470927708418,0.3435897043900769,0.0118,27.414634146341466,0.0
SpaceTech,2018,India,Bengaluru,Seed,1.59,37.25,1.76,0.23,4.8,13,0,13,Tier 2 (Mid-size VC),Low,Independent,8,0.9516578757114464,3.644143560272545,1.0152306797290584,0.12230769230769231,21.164772727272727,0.0
Cybersecurity,2018,Israel,Jerusalem,Series B,27.84,276.09,10.06,1.21,21.3,112,0,112,Tier 3 (Angel/Seed),High,Independent,8,3.3617633124167483,5.6243423631628895,2.403334996094189,0.24857142857142858,27.444333996023854,0.0
HealthTech,2019,Japan,Tokyo,Series C+,79.58,283.21,11.97,8.07,9.7,548,0,548,Corporate VC (e.g. Google Ventures),High,Closed,7,4.389250479763201,5.649713401532359,2.5626389983283526,0.14521897810218978,23.659983291562234,0.0
SpaceTech,2021,India,Mumbai,Series C+,228.07,1704.87,120.53,19.81,11.5,1053,518,535,Tier 3 (Angel/Seed),Medium,Closed,5,5.434027633700484,7.441830523506866,4.800161145882709,0.42629906542056073,14.14477723388368,0.4919278252611586
Robotics,2022,China,Shanghai,Seed,0.45,12.77,0.48,0.22,1.4,21,0,21,Tier 3 (Angel/Seed),High,Independent,4,0.37156355643248307,2.6224923127405635,0.3920420877760237,0.02142857142857143,26.604166666666668,0.0
Cybersecurity,2020,USA,Seattle,Series C+,57.11,580.83,26.89,3.01,18.4,190,0,190,Corporate VC (e.g. Google Ventures),High,Independent,6,4.062337766087015,6.3661783088430965,3.3282682016393976,0.30057894736842106,21.60022313127557,0.0
Cybersecurity,2013,China,Beijing,Series C+,83.29,459.78,29.17,5.12,16.0,476,0,476,Tier 3 (Angel/Seed),,Independent,13,4.434263234009391,6.1329207056619754,3.40684805317097,0.17497899159663866,15.76208433321906,0.0
ClimateTech,2014,USA,Miami,Seed,0.97,20.23,1.48,0.33,2.3,31,0,31,Tier 2 (Mid-size VC),Medium,Independent,12,0.6780335427498971,3.055415275715165,0.9082585601768908,0.03129032258064516,13.66891891891892,0.0
Generative AI,2021,USA,Boston,Series A,24.88,102.68,5.32,1.92,12.3,125,0,125,Tier 3 (Angel/Seed),High,Independent,5,3.2534704696327,4.641309232603964,1.843719208158766,0.19904,19.30075187969925,0.0
FinTech,2020,USA,San Francisco,Pre-IPO,427.85,3946.03,166.47,37.65,11.3,2556,0,2556,Tier 3 (Angel/Seed),,Independent,6,6.0611072074364305,8.280718676343362,5.120804230746387,0.16739045383411583,23.704150898059712,0.0
FinTech,2020,China,Hangzhou,Seed,1.12,27.69,1.36,0.26,3.1,13,0,13,Tier 2 (Mid-size VC),High,Independent,6,0.7514160886839212,3.3565486299932736,0.8586616190375187,0.08615384615384616,20.360294117647058,0.0
Robotics,2017,France,Paris,Series B,5.78,53.77,3.31,1.17,4.6,59,0,59,Corporate VC (e.g. Google Ventures),Low,Independent,9,1.9139771019523042,4.00314259879563,1.4609379041156565,0.09796610169491526,16.244712990936556,0.0
Robotics,2021,India,Hyderabad,Seed,0.0,41.37,1.68,0.18,0.0,15,0,15,Bootstrapped,Medium,Independent,5,0.0,3.7464405646384678,0.9858167945227653,0.0,24.625,0.0
Cybersecurity,2020,USA,Miami,Series C+,145.01,814.82,28.24,6.92,20.7,689,0,689,Corporate VC (e.g. Google Ventures),High,Independent,6,4.983675112513472,6.70419374239565,3.3755376348815775,0.2104644412191582,28.853399433427764,0.0
Generative AI,2017,Germany,Munich,Series A,28.16,171.74,11.57,1.4,18.8,128,0,128,Tier 3 (Angel/Seed),High,Independent,9,3.3727979071404572,5.15178757385214,2.531313022602156,0.22,14.843560933448574,0.0
Generative AI,2023,USA,Austin,Series A,18.22,212.31,16.08,1.02,16.3,65,0,65,Tier 3 (Angel/Seed),,Independent,3,2.9559514035421466,5.3627465067037265,2.837908188360424,0.2803076923076923,13.203358208955226,0.0
EdTech,2020,Japan,Tokyo,Seed,1.15,22.57,1.27,0.29,2.9,19,0,19,Tier 3 (Angel/Seed),Medium,Acquired,6,0.7654678421395714,3.1599747169480397,0.8197798314933114,0.06052631578947368,17.771653543307085,0.0
Web3/Crypto,2019,Singapore,Singapore,Series A,15.16,146.83,7.65,1.16,12.0,62,34,28,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),7,2.7825390530929495,4.996062964912999,2.157559320943788,0.5414285714285715,19.19346405228758,0.5483870967741935
Cybersecurity,2012,Japan,Tokyo,Seed,0.86,9.84,0.58,0.13,3.7,12,0,12,Tier 3 (Angel/Seed),High,Acquired,14,0.6205764877251099,2.3832429960115,0.4574248470388754,0.07166666666666667,16.96551724137931,0.0
Generative AI,2018,Japan,Kyoto,Seed,3.95,43.7,2.22,0.19,13.6,18,0,18,Tier 3 (Angel/Seed),Medium,Independent,8,1.599387576580599,3.7999735016195233,1.169381359556317,0.21944444444444444,19.684684684684683,0.0
ClimateTech,2018,USA,Boston,Series C+,128.04,1310.41,47.54,11.32,11.2,600,0,600,Tier 3 (Angel/Seed),High,Independent,8,4.8601224338169535,7.1788581732389085,3.8823882002984553,0.21339999999999998,27.564366848969293,0.0
Autonomous Vehicles,2022,USA,New York,Series A,8.71,74.61,12.99,0.46,15.6,24,5,19,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,4,2.2731562823032334,4.3255885495701785,2.63834278867739,0.458421052631579,5.74364896073903,0.20833333333333334
Robotics,2023,USA,New York,Series A,3.47,48.34,1.94,0.75,4.1,39,0,39,"Tier 1 (e.g. Sequoia, a16z)",Low,Independent,3,1.4973884086254776,3.8987351111012107,1.0784095813505903,0.08897435897435899,24.91752577319588,0.0
FinTech,2023,India,Delhi NCR,Series A,4.29,54.34,2.73,0.52,6.9,43,18,25,Tier 3 (Angel/Seed),Medium,Independent,3,1.665818245870208,4.01349597435878,1.3164082336557241,0.1716,19.904761904761905,0.4186046511627907
Robotics,2022,USA,Austin,Series B,11.64,50.31,3.47,0.39,23.8,32,0,32,Tier 2 (Mid-size VC),,Independent,4,2.5368663887187113,3.9378856649538734,1.4973884086254776,0.36375,14.498559077809798,0.0
FinTech,2018,UK,London,Seed,1.39,23.69,1.14,0.57,2.1,36,0,36,Tier 3 (Angel/Seed),Medium,Independent,8,0.8712933659434193,3.206398303357088,0.76080582903376,0.03861111111111111,20.78070175438597,0.0
FinTech,2020,Israel,Tel Aviv,Seed,3.09,47.17,2.11,0.47,5.4,33,10,23,Tier 2 (Mid-size VC),High,Independent,6,1.4085449700547104,3.8747364206421295,1.1346227261911428,0.13434782608695653,22.355450236966828,0.30303030303030304
Autonomous Vehicles,2012,USA,Austin,Series A,3.59,35.46,1.22,0.56,5.4,28,0,28,Tier 3 (Angel/Seed),Low,Independent,14,1.5238800240724537,3.596215769250517,0.7975071958841881,0.1282142857142857,29.065573770491806,0.0
Generative AI,2021,USA,Seattle,Series A,22.33,221.51,21.68,2.94,7.3,225,84,141,Tier 3 (Angel/Seed),Medium,Independent,5,3.1497400860333387,5.404972044416576,3.121483478859551,0.15836879432624112,10.217250922509225,0.37333333333333335
HealthTech,2019,China,Shenzhen,Series B,38.18,209.51,10.54,2.88,12.8,178,59,119,Tier 2 (Mid-size VC),,Independent,7,3.6681664125163946,5.349533157932307,2.4458192610799534,0.3208403361344538,19.877609108159394,0.33146067415730335
Cybersecurity,2020,USA,Austin,Seed,3.36,42.88,2.83,0.36,7.3,20,5,15,Tier 2 (Mid-size VC),Low,IPO,6,1.4724720573609429,3.7814586354070294,1.3428648031925547,0.224,15.151943462897528,0.25
ClimateTech,2020,China,Shanghai,Seed,0.57,20.29,1.96,0.49,1.0,27,13,14,Tier 3 (Angel/Seed),,Acquired,6,0.4510756193602166,3.058237478905388,1.085189268335969,0.04071428571428571,10.35204081632653,0.48148148148148145
Robotics,2021,USA,New York,Series B,1.51,28.03,1.63,0.08,8.4,6,0,6,Tier 3 (Angel/Seed),Medium,Independent,5,0.9202827531436926,3.3683297780365384,0.9669838461896731,0.25166666666666665,17.19631901840491,0.0
FinTech,2022,China,Shenzhen,Seed,3.99,43.67,1.9,0.66,5.2,46,0,46,Tier 2 (Mid-size VC),Medium,Independent,4,1.6074359097634274,3.7993021353640275,1.0647107369924282,0.08673913043478261,22.984210526315792,0.0
Generative AI,2020,USA,San Francisco,Series A,83.88,477.68,19.06,3.3,24.7,319,0,319,Tier 3 (Angel/Seed),Medium,Independent,6,4.441238494305727,6.1710323157053155,2.9987277825337895,0.26294670846394985,25.061909758656874,0.0
FinTech,2020,India,Mumbai,Seed,0.76,10.81,0.45,0.68,1.0,35,19,16,Tier 2 (Mid-size VC),High,Acquired (Fire Sale),6,0.5653138090500605,2.468946630209271,0.37156355643248307,0.0475,24.022222222222222,0.5428571428571428
FinTech,2019,USA,New York,Series A,20.91,153.72,8.66,1.95,10.2,103,58,45,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,7,3.086943153607375,5.041617031704984,2.2679936482244267,0.4646666666666667,17.750577367205544,0.5631067961165048
Cybersecurity,2013,UK,Cambridge,Series B,10.13,108.7,12.55,0.91,10.0,58,0,58,Corporate VC (e.g. Google Ventures),Low,Independent,13,2.4096441652874536,4.697749367281185,2.60638654732571,0.1746551724137931,8.661354581673306,0.0
FinTech,2019,France,Paris,Seed,0.77,13.86,2.48,0.76,0.9,47,0,47,Tier 3 (Angel/Seed),Low,Independent,7,0.5709795465857378,2.698673039289613,1.247032293786383,0.016382978723404256,5.588709677419355,0.0
HealthTech,2020,USA,Miami,Series A,3.26,48.2,4.58,0.33,7.6,19,7,12,Tier 3 (Angel/Seed),High,Independent,6,1.449269160281279,3.8958936234982624,1.7191887763932197,0.27166666666666667,10.524017467248909,0.3684210526315789
HealthTech,2021,France,Lyon,Series B,38.63,154.67,6.46,2.95,12.7,171,38,133,Tier 3 (Angel/Seed),Medium,Independent,5,3.679586407202344,5.047738382047758,2.0095554142156695,0.2904511278195489,23.94272445820433,0.2222222222222222
HealthTech,2019,China,Beijing,Series A,14.46,167.85,7.71,0.57,21.6,33,0,33,Tier 3 (Angel/Seed),High,Closed,7,2.738256043159276,5.129010746831577,2.1644717908644115,0.43818181818181823,21.770428015564203,0.0
Generative AI,2014,USA,Seattle,Pre-IPO,137.54,1160.66,220.16,5.62,24.0,374,0,374,Tier 2 (Mid-size VC),High,Independent,12,4.931159092594459,7.057605295629129,5.398886421469732,0.36775401069518715,5.2718931686046515,0.0
Robotics,2020,China,Beijing,Series A,0.64,13.76,1.24,0.42,1.2,28,0,28,Tier 3 (Angel/Seed),High,Independent,6,0.49469624183610705,2.6919208191723265,0.8064758658669484,0.022857142857142857,11.096774193548386,0.0
SpaceTech,2019,Germany,Berlin,Pre-IPO,1223.61,3760.45,129.68,18.69,65.1,1716,0,1716,Tier 3 (Angel/Seed),Low,Independent,7,7.110377704942246,8.232559800342475,4.8727515867328695,0.7130594405594405,28.99791795188155,0.0
ClimateTech,2019,USA,Austin,Pre-IPO,50.38,184.13,15.28,3.32,14.7,192,63,129,Tier 2 (Mid-size VC),High,Independent,7,3.9392489916817377,5.221058281001085,2.7899373605743945,0.3905426356589147,12.050392670157068,0.328125
Cybersecurity,2024,China,Shanghai,Series A,5.82,56.46,2.37,0.29,14.9,28,0,28,Corporate VC (e.g. Google Ventures),Low,IPO,2,1.9198594718553708,4.051089053551143,1.2149127443642704,0.20785714285714288,23.82278481012658,0.0
ClimateTech,2014,China,Shenzhen,Seed,1.49,32.88,2.31,0.46,2.7,30,0,30,Corporate VC (e.g. Google Ventures),High,Acquired,12,0.9122827104766162,3.522824869783854,1.1969481893889715,0.049666666666666665,14.233766233766234,0.0
Robotics,2019,USA,Austin,Series C+,104.57,777.31,61.35,4.01,25.4,240,0,240,Tier 3 (Angel/Seed),High,Independent,7,4.659374240001603,6.657124902398797,4.132763672126045,0.4357083333333333,12.670089649551752,0.0
HealthTech,2020,USA,Seattle,Seed,1.68,28.77,2.19,0.55,2.6,32,21,11,Tier 2 (Mid-size VC),High,Closed,6,0.9858167945227653,3.393501175027685,1.1600209167967532,0.1527272727272727,13.136986301369863,0.65625
SpaceTech,2018,China,Hangzhou,Series B,78.61,464.99,22.07,4.87,15.8,277,50,227,Tier 2 (Mid-size VC),Low,Closed,8,4.377139713100487,6.144164174667925,3.138533072185662,0.34629955947136565,21.068871771635706,0.18050541516245489
EdTech,2016,India,Mumbai,Seed,5.23,66.08,2.57,1.06,4.5,57,31,26,Tier 2 (Mid-size VC),High,Closed,10,1.8293763327993617,4.205885936955008,1.2725655957915476,0.20115384615384618,25.71206225680934,0.543859649122807
Generative AI,2018,USA,New York,Series C+,108.33,1051.4,90.68,4.74,22.4,287,0,287,Tier 2 (Mid-size VC),Low,Closed,8,4.694370831446394,6.958828549166138,4.51830425296643,0.37745644599303135,11.594618438464932,0.0
FinTech,2014,USA,Miami,Seed,4.41,58.3,11.08,0.24,13.0,16,4,12,Tier 3 (Angel/Seed),,Independent,12,1.6882490928583902,4.08260930600368,2.4915511925066687,0.3675,5.261732851985559,0.25
FinTech,2012,Germany,Berlin,Series C+,0.0,29.37,1.22,0.78,0.0,42,20,22,Bootstrapped,Medium,Independent,14,0.0,3.4134552790576573,0.7975071958841881,0.0,24.07377049180328,0.47619047619047616
Generative AI,2021,USA,New York,Series A,10.44,43.75,4.79,0.36,22.7,28,0,28,Corporate VC (e.g. Google Ventures),High,Independent,5,2.437115985951652,3.8010914447208646,1.7561322915849038,0.37285714285714283,9.133611691022965,0.0
Generative AI,2020,USA,Miami,Series B,28.23,242.91,9.07,2.16,12.5,190,29,161,Tier 3 (Angel/Seed),High,Acquired,6,3.3751955791231545,5.496799304791385,2.309560706730471,0.1753416149068323,26.781697905181918,0.15263157894736842
Web3/Crypto,2013,China,Shanghai,Seed,1.07,20.39,0.74,0.4,2.1,38,29,9,Tier 2 (Mid-size VC),Medium,Closed,13,0.7275486072772778,3.062923523094314,0.5538851132264376,0.11888888888888889,27.554054054054056,0.7631578947368421
Robotics,2019,India,Mumbai,Series A,10.22,101.95,8.97,0.92,10.0,60,0,60,"Tier 1 (e.g. Sequoia, a16z)",,Independent,7,2.4176979000945504,4.634243433473799,2.299580583973747,0.17033333333333334,11.36566332218506,0.0
HealthTech,2015,USA,Boston,Series A,1.94,30.35,1.69,0.34,4.4,18,0,18,Tier 3 (Angel/Seed),High,Independent,11,1.0784095813505903,3.4452142670789296,0.9895411936137477,0.10777777777777778,17.958579881656807,0.0
Generative AI,2019,USA,Seattle,Series B,175.1,783.71,82.45,8.54,20.3,447,0,447,Tier 2 (Mid-size VC),Low,Independent,7,5.17105201550216,6.665314222775943,4.424247650107844,0.39172259507829976,9.50527592480291,0.0
Generative AI,2021,USA,San Francisco,Series B,16.67,164.74,11.5,0.89,16.8,61,0,61,Corporate VC (e.g. Google Ventures),High,Acquired,5,2.871868286331605,5.110420295420896,2.5257286443082556,0.2732786885245902,14.32521739130435,0.0
Cybersecurity,2020,China,Beijing,Seed,0.27,13.37,1.23,0.66,0.4,36,0,36,Tier 3 (Angel/Seed),Medium,Independent,6,0.23901690047049992,2.6651427000909336,0.8020015854720274,0.007500000000000001,10.869918699186991,0.0
Generative AI,2015,France,Lyon,Seed,2.97,27.79,0.96,0.11,14.1,10,0,10,Tier 3 (Angel/Seed),High,Independent,11,1.3787660946990992,3.3600281046240843,0.6729444732424258,0.29700000000000004,28.947916666666668,0.0
Web3/Crypto,2020,India,Mumbai,Seed,1.38,23.93,1.19,0.38,2.9,21,17,4,Tier 2 (Mid-size VC),High,Closed,6,0.8671004876833833,3.2160718975354663,0.7839015438284094,0.345,20.10924369747899,0.8095238095238095
ClimateTech,2020,USA,New York,Series A,0.0,47.68,1.73,0.59,0.0,41,0,41,Bootstrapped,Low,Acquired,6,0.0,3.8852682681193262,1.0043016091968684,0.0,27.560693641618496,0.0
Autonomous Vehicles,2021,UK,Oxford,Series A,21.68,229.8,17.1,1.25,16.1,83,0,83,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,5,3.121483478859551,5.441551534633945,2.89591193827178,0.2612048192771084,13.43859649122807,0.0
Robotics,2021,USA,Austin,Seed,5.46,41.36,2.81,0.29,14.0,17,3,14,Corporate VC (e.g. Google Ventures),Medium,Independent,5,1.8656293177945105,3.7462045207332055,1.3376291891386096,0.39,14.718861209964412,0.17647058823529413
HealthTech,2021,USA,Austin,Series B,21.89,99.16,7.94,1.54,13.3,91,10,81,Tier 3 (Angel/Seed),Medium,Acquired,5,3.1307001339644756,4.606768907351788,2.190535589185423,0.27024691358024694,12.48866498740554,0.10989010989010989
SpaceTech,2020,USA,San Francisco,Series C+,82.45,464.99,20.65,3.43,23.4,183,0,183,Tier 2 (Mid-size VC),Low,Independent,6,4.424247650107844,6.144164174667925,3.075005454448499,0.4505464480874317,22.51767554479419,0.0
Generative AI,2018,USA,Miami,Series A,51.05,327.0,11.62,2.51,19.6,144,0,144,Corporate VC (e.g. Google Ventures),Medium,Independent,8,3.952204795060978,5.793013608384144,2.5352828571130672,0.35451388888888885,28.141135972461274,0.0
FinTech,2023,Israel,Jerusalem,Series B,74.22,360.82,18.45,2.19,32.4,121,0,121,Tier 3 (Angel/Seed),,Independent,3,4.32041715304219,5.891146850593115,2.9678470700644555,0.6133884297520661,19.556639566395663,0.0
Generative AI,2017,USA,Miami,Series A,167.6,754.99,62.38,8.91,18.6,449,0,449,Tier 3 (Angel/Seed),,Acquired,9,5.127529045567755,6.628028148578821,4.149148354262775,0.3732739420935412,12.103077909586405,0.0
Robotics,2022,USA,Seattle,Series C+,124.29,900.97,32.01,4.73,25.7,284,0,284,Tier 3 (Angel/Seed),Medium,Independent,4,4.830631050257462,6.804581260086014,3.4968105458651015,0.43764084507042256,28.146516713527024,0.0
Autonomous Vehicles,2024,USA,Austin,Series C+,33.76,327.4,14.66,1.21,25.8,68,0,68,Tier 2 (Mid-size VC),Medium,Independent,2,3.548467300397191,5.794232377578273,2.751109690562657,0.4964705882352941,22.332878581173258,0.0
